City ,Confirmed Covid Case Numbers
Araçariguama,248
Major Isidoro,128971
Ivoti,39839
São Luís Gonzaga do Maranhão,38046
Araruna,393803
Mairi,57238
Aquidabã,66064
Icapuí,68764
Anagé,3779998
Itarantim,94469
Taquarana,416776
Guapiaçu,10076
Jericoacoara,55855
Hidrolândia,30054
Junqueirópolis,916103
Ipanema,18119
Caridade,19401
Carira,191626
Canto do Buriti,229794
Alpinópolis,608353
São José de Piranhas,33179
Rubiataba,578
Uruburetama,778444
Lajinha,65522
Umirim,5810
Pradópolis,58992
Castilho,4065
Madalena,12231
Santa Vitória,61306
Riachão do Dantas,80093
Paulistana,56249
Simonésia,78908
Cajari,956715
Itatinga,11330
Campina Verde,36456
Regente Feijó,55187
Poção de Pedras,10798
Chopinzinho,598
Borda da Mata,766
Pôrto Grande,25488
Barreira,654758
Capoeiras,68644
Presidente Olegário,11815
Utinga,539261
Capela do Alto,346892
Júlio de Castilhos,36411
Abaré,61367
Morros,42913
Mazagão,154146
Ibicoara,12271
Rolante,60988
Rio Verde de Mato Grosso,10092
Reriutaba,33353
Papanduva,26361
Pariquera-Açu,108409
Quixeré,1419986
Salgado,0
Venceslau Brás,49
Ituaçu,48803
Três Barras,400188
Sengés,132021
Cocos,88517
Águas Formosas,33152
Juquiá,34091
Monte Azul Paulista,120699
Paranapanema,2680
Ampère,382544
Buerarema,3899813
Tibagi,473107
Alhandra,75520
Varzelândia,63
Horizontina,694
Anori,79961
Iati,36075
São Francisco de Assis,2313815
Aroeiras,23101
Antas,18844
Maracaçumé,42551
Aporá,106804
Ibirama,616
Camocim de São Félix,1028
Jussara,33144
Cerqueira César,4509
Buriti dos Lopes,126181
Silvânia,194
Dormentes,35401
Carmo,182209
Guaranésia,1120923
Matipó,4290
Cabaceiras do Paraguaçu,8252
Umburanas,5516
Nova Petrópolis,149410
Porciúncula,598157
Caconde,3925
Ervália,13
Antonina,103
Pindoretama,34
Ipaba,38154
Barão do Grajaú,16517
Terra Santa,1679
Itatira,8141
Chapada dos Guimarães,131705
Contenda,2413
Conceição,275
Pôrto Acre,2826
Malacacheta,40926
Palmeiras,147
Costa Marques,794912
Engenheiro Coelho,7641
Neópolis,188
Quitandinha,155001
Ibititá,40065
Farias Brito,75859
Cruz Machado,744602
Pirapemas,35924
Cariús,1317
Venturosa,1612
Cafarnaum,1314
Picuí,284119
Ibipeba,38823
Bacuri,182982
Jaguaripe,10000
Boa Vista do Tupim,35400
São João dos Poleiros,11835
Augustinópolis,14407
Porto Real,31676
Águas de Lindóia,68159
Carnaíba,57470
Olho d’Água das Cunhãs,1051
Varjota,39222
Fátima,9487
Garuva,51670
Siqueira Campos,191546
Plácido de Castro,1377165
Taió,741053
Viradouro,15708
Piatã,385
Tonantins,370873
Arroio Grande,69197
Itapaci,3600
Itapororoca,80662
Campos Belos,1591
Formoso do Araguaia,85895
Belo Campo,35923
Serra Dourada,1365
Piúma,86777
Cariré,275822
Lagoa da Canoa,12255
Serrita,4487
Jucurutu,333058
Vertentes,725
Lagoa do Carro,937
Pocinhos,573
Colina,42261
Condeúba,70243
Banabuiú,24240
Luz,1961
Sapucaia,3177
São Vicente Férrer,33251
Arinos,23591
Rio Maria,20744
Tremedal,35374
Santo Antônio do Leverger,14641
Itacarambi,60237
Beruri,314757
Central,20369
Morro da Fumaça,46905
Croatá,2472973
São Caetano de Odivelas,36640
Tapauá,456626
Paraibuna,2395590
Solonópole,52335
Matelândia,22982
Atalaia do Norte,57187
Lagoa Formosa,145683
Piaçabuçu,34240
Pastos Bons,87504
Mirangaba,130644
Itaberá,204678
Rio Pomba,124176
Canapi,43609
Mirante do Paranapanema,20082
Regeneração,1313
Messias,43948
Antenor Navarro,21328
Ibirataia,47858
Juazeirinho,72941
Guapiara,21552
Conceição do Mato Dentro,6044
Anadia,21180
Serafina Corêa,38070
Jacupiranga,15518
Jaguaretama,35445
Pontalina,75402
Nazaré Paulista,30612
Cêrro Azul,17810
Belterra,7111
São Benedito do Rio Preto,54593
Sapeaçu,340212
Pirapora do Bom Jesus,44686
Não-Me-Toque,425
Presidente Getúlio,126985
Cairu,102405
Cássia,871728
Pouso Redondo,59054
Cipó,112059
Tanque Novo,31328
Boqueirão,831841
Novo Airão,39648
Ribeirão Branco,75194
São Paulo do Potengi,37634
Seara,469445
Magalhães de Almeida,25856
Amarante,30621
Filadélfia,134879
Nova Era,51
Afrânio,769696
Peçanha,13048
Terra Roxa d’Oeste,711411
Cafelândia,8435
São Raimundo das Mangabeiras,27486
Malhada,68326
Maruim,5626155
Pedra Preta,67139
Conchas,45451
Tapiramutá,49046
Montalvânia,285838
Santo Antônio do Amparo,102079
São Domingos do Prata,13428
Souto Soares,11789
Tapes,458680
Faxinal,705598
Urandi,395284
Carmópolis,279867
Pôrto Murtinho,81850
Monsenhor Tabosa,20176
Bom Sucesso,43622
Clevelândia,31449
Cesário Lange,9064
Cumaru,51010
Ribeirópolis,556318
Araçagi,248983
Santana do Cariri,988947
Itirapina,48134
Canudos,4743
Urucuia,1525072
Adustina,599477
Itaquitinga,316911
Elias Fausto,603849
Urucará,8800
Capistrano,2986
Corbélia,10937
Abelardo Luz,13552
Tijucas do Sul,111377
Resplendor,20
Nova Canaã,24303
Giruá,20790
Carmópolis de Minas,33348
Macatuba,1161601
Fundão,266734
Água Fria,112606
Itapiranga,51096
Mangueirinha,67780
Rosário Oeste,20535
Crixás,4663
Aiuaba,2837
Realeza,58209
Terra Rica,7662
América Dourada,61136
Santa Cecília,62007
Severínia,12129
Alvorada D’Oeste,223126
Guareí,1102
Alto Santo,323022
Poço Fundo,2153
Nova Resende,126
Nova Ipixuna,98428
Tejuçuoca,1014579
Taguatinga,202405
Pindaí,5576
Itariri,2097200
Campanha,1269
Tocantins,256340
Sumé,3100
Carnaubal,76
Potirendaba,117239
Brasilândia,264174
Agudo,270598
Ibicuí,799290
Ibitiara,24306
Salesópolis,59756
Raposos,998701
Poté,109713
Carapebus,16956
Buritama,122282
Jutaí,181
Pedregulho,171
Charqueada,127
Tururu,5389
Bady Bassitt,30771
Morretes,42891
Itaeté,29237
Passa Quatro,124058
Sertanópolis,640
Pindorama,55043
Bituruna,47036
Aveiro,138963
Acarape,714380
São Pedro do Sul,1098594
Assaí,3231
Otacílio Costa,7029
Tapejara,15499
Itaú de Minas,452377
Caçu,47123
Vila Bela da Santíssima Trindade,531362
Capinópolis,31479
Igaporã,199391
Araputanga,35372
Poxoréo,43867
Palmitos,98270
Altinópolis,41477
Getúlio Vargas,106578
Mujuí dos Campos,72621
Barra de Santo Antônio,45222
Paulino Neves,196767
Iguatemi,509926
Quixelô,320276
Iraci,1067717
Corupá,13942
Joaquim Nabuco,1198896
Candói,46835
Guamaré,56888
Piancó,467269
Caetano,266733
Fartura,358839
Tabatinga,76508
Grão Mogol,76517
Indiaroba,2926
Mozarlândia,44177
Restinga Sêca,200
Barrocas,37510
Ibateguara,98219
Jataúba,84888
Papagaios,138094
Biritinga,249143
Lagoa Real,548231
Nova Ponte,336315
São João Evangelista,31692
Pereiro,11674
Itajibá,18
Água Clara,368155
Acajutiba,1611
Abadiânia,68887
Saboeiro,43099
Itamonte,26229
Nova Olinda,923860
Sabinópolis,0
Sumidouro,13
Lagoa dos Gatos,23566
Ipanguaçu,151651
Rio do Antônio,151502
Alvinópolis,261753
Espumoso,1066265
Ipuã,848495
Poço Branco,61448
Borborema,77387
Dionísio Cerqueira,226846
Campos Altos,102289
Frei Miguelinho,93104
Ipecaetá,28971
Alvarães,40479
Cambuci,282038
Nova Timboteua,97875
Jurema,2451
Itanhandu,1005
Cruzília,4
Panorama,434677
Passo de Camarajibe,25
Dom Feliciano,43084
Piquet Carneiro,37821
Mirandiba,22863
Salinas da Margarida,64302
Salitre,5253
Coremas,64027
Felixlândia,43312
Jacaraci,953027
Entre Rios de Minas,126542
Barro Alto,3210204
Campina da Lagoa,62044
Bom Jesus do Galho,56477
Itapagipe,45820
Serra Preta,62656
Saloá,232661
Italva,227659
Capitão Enéas,14708
Ibipitanga,613
Santa Luzia,883
Pendências,2078
Ribeiro do Amparo,253
São João do Triunfo,4860
São Lourenço da Serra,532
Guiratinga,8055
Brejões,1018
São Félix,223642
Primavera,13511
Areado,38850
Teolândia,311766
Santa Adélia,2386
Curiúva,153120
Tupi Paulista,30709
Tartarugalzinho,74820
Monte Alegre de Sergipe,25290
Itajobi,750
Orocó,591525
Mata Roma,124023
Barra de Santa Rosa,1915
Bela Vista do Paraíso,54449
Canutama,250763
Porteiras,33712
Fortuna,76436
Santa Brígida,88720
Teixeira,67635
Graça,24854
Jiquiriçá,58958
Tamarana,32532
Auriflama,1911496
Botelhos,36287
Carmo de Minas,234
Jardim de Piranhas,21298
Brasil Novo,560141
Iporã,861313
Coribe,69094
Rebouças,2946793
Nobres,126709
Pedro Velho,393
Mascote,1
Petrolândia,19872
Bom Lugar,174414
Fortim,6146
Nova Trento,1624
Upanema,157735
Andorinha,74175
Correia Pinto,32714
Cidelândia,239934
Xexéu,463
Vargem da Roça,1779
Angical,47965
Governador Celso Ramos,39817
Massaranduba,16304
Candiba,2409
Brazópolis,41713
Simões,36460
Alfredo Chaves,15928
Bicas,31064
Ipauçu,33851
Matias Barbosa,55432
Santa Maria do Suaçuí,56166
Boninal,20011
Curuá,54
Boa Nova,0
Guaraniaçu,6093
Apuiarés,0
Santa Branca,8
Tibau do Sul,0
Santa Filomena,0
Boa Esperança do Sul,3861
Caldas,6966
Barra do Mendes,0
Água Boa,0
Alterosa,39657
Pinhalzinho,404810
Barroquinha,124578
Uibaí,1677508
Pé de Serra,318346
Manoel Vitorino,11525
Casinhas,259940
Arroio dos Ratos,95527
Marmeleiro,18373
Igrapiúna,22774
Bom Princípio,26311
Itinga,26998
Ilhota,185967
Paranhos,1498
Cotegipe,422233
Carlópolis,61153
Rio Piracicaba,24136
Maurilândia,1753
Astolfo Dutra,20563
Tarumirim,70180
Cristópolis,3383
Marechal Floriano,673759
Santo Antônio dos Lopes,33247
Maria da Fé,59249
Santa Juliana,45848
Guapé,60832
Tarumã,84078
Nilo Peçanha,2574
Mirinzal,212554
Rio Casca,445
Piquete,40138
Baianópolis,430415
Porecatu,1301978
Mucambo,94936
Engenheiro Paulo de Frontin,160587
Nioaque,1017
Ipiranga,673023
Santa Luzia do Itanhy,59870
Itaguaçu,980
Crissiumal,1928
Patrocínio Paulista,2791
Cabo Verde,38982
Aracatu,1493
Paraíso do Norte,40589
São João do Araguaia,39065
Peabiru,84
Ibiraci,352
Guapó,42996
Santo Augusto,30680
Alto Alegre dos Parecis,61398
Vianópolis,101870
Ivaí,28938
Engenheiro Beltrão,1363
Mamborê,87225
Pacaembu,388457
Primeira Cruz,66275
Anapurus,132215
Ielmo Marinho,127107
Maracaí,13569
Brejo do Cruz,32623
Tracunhaém,1258
Itapetim,3562135
Miraíma,221982
Ataléia,641740
Demerval Lobão,332610
Uruana,11499
Peri-Mirim,220847
São José do Cedro,790521
Joaquim Pires,3995
Machados,386978
Alagoinha,12764
Jupi,8025
Santana do Matos,1411
Heliópolis,349653
Passa e Fica,203391
Dores do Indaiá,52865
Feliz,236
Pedro Afonso,416727
Mansidão,13415
São Ludgero,143262
Tenente Portela,4546
Virgem da Lapa,29411
Abre Campo,25761
Jaguapitã,77733
Puxinanã,7079
Andaraí,4924
Conceição do Rio Verde,3872
Camapuã,11476
Quatipuru,30863
Meruoca,304529
Quatá,354060
General Carneiro,134208
Satuba,72011
Cacequi,1658092
Lagoa da Confusão,274413
Caldeirão Grande,712
Alto Paraná,11502
São Pedro do Piauí,184
Rio Vermelho,284567
Mirabela,419198
Rio de Contas,254984
Terra Boa,72220
Águas Vermelhas,8476
Maribondo,3932
Quatis,128669
Alexandria,18557
Serra Branca,269500
Tomar do Geru,238
Barra do Ribeiro,91619
Presidente Bernardes,5550143
Chã da Alegria,24107
Mario Campos,5978
Urupês,337961
Manuel Ribas,93644
Ribeirão do Pinhal,391181
Miranorte,161
Várzea Nova,247644
Paripueira,23052
Itaguara,3751
Martinho Campos,16130
Arroio do Tigre,13906
Itapuí,27
Serrolândia,233116
Luís Antônio,802346
Arara,6555
Mogeiro,1781127
Itagi,2843523
Nordestina,1172042
Itiruçu,254870
Jitaúna,839367
Sítio do Mato,47033
Retirolândia,48054
Imbaú,731436
Serra Azul,431288
Uropá,168543
Nova Londrina,2
Juruá,106770
Presidente Jânio Quadros,300455
Monte Belo,102702
Luís Alves,1822
Sete Barras,131079
Balneário do Rincão,538668
Missões,10822
Tapiratiba,2161
Piratininga,183592
Balsa Nova,3000
Milhã,271130
Nossa Senhora do Livramento,69545
Goiatins,9
Lagoa Dourada,40954
Governador Dix-Sept Rosado,34293
Antônio Prado,518600
Frecheirinha,57341
Senador José Porfírio,14244
Turvo,30506
Carnaubeira da Penha,4
Tabocas do Brejo Velho,19195
Morungaba,1296
Wanderley,1
Flexeiras,254741
Licínio de Almeida,2501
Cristais,53734
Lucena,99291
Nova Crixás,517113
Ibaretama,70606
Ribeirão Bonito,53207
Mar de Espanha,520461
Piên,2669
São José do Campestre,7193
Governador Lindenberg,5383
Uruoca,166061
Jequeri,155067
Choró,122652
Cambuquira,211221
Itaipé,374356
Mostardas,15187
Cidade Gaúcha,335691
Pinheiro Machado,1184706
Areal,2866181
São Sebastião do Uatumã,845465
Saúde,215742
Santa Cruz da Baixa Verde,1075773
Mineiros do Tietê,26730
Joanópolis,60
Avanhandava,4945
Simplício Mendes,1978
Tacaimbó,3
Mato Verde,5089
Chaval,2338
Barbosa Ferraz,442071
Ibicuitinga,41142
Porto,710315
Jataìzinho,10740
São Gonçalo do Pará,4121
Maxaranguape,61860
São Geraldo,388854
Jaciara,251773
Cardoso Moreira,20
Itiquira,14632
Seringueiras,1637848
Duartina,136983
Cananéia,10652
Moreira Sales,167172
Taguaí,34889
Teixeira Soares,13302
Ubaporanga,687353
Xavantes,24187
São Romão,4917
Andrelândia,13308
Dom Basílio,509
Valentim Gentil,132213
Mortugaba,5816
Nina Rodrigues,13374
Ilicínia,20267
Araçás,336414
Edéia,5194010
Cortês,43919
Brejetuba,557619
Cêrro Grande,267888
Santa Mariana,98657
Iaciara,4
São Luís do Curu,224819
Jardim do Seridó,5404
Caapiranga,305777
Bom Retiro do Sul,6662
São Sebastião da Grama,93279
Setubinha,38696
Lontras,73704
Alto do Rodrigues,81505
Jardim Alegre,14620
Rio Paranaíba,26428
Palmares Paulista,44904
Jacinto,742
Matina,542256
Anamã,189098
Berilo,69999
Mirante da Serra,224647
Maraial,51221
Itanhomi,16961
Antônio Cardoso,110654
Piripá,382845
Iguaraci,6311
Palestina,28174
Axixá,22641
Saubara,68378
Querência do Norte,576718
Antônio Gonçalves,6853
Mulungu do Morro,1593821
Pedras de Maria da Cruz,109
Loreto,1004
Canápolis,520995
Carmo da Cachoeira,52258
Lagoa do Ouro,135932
Santa Fé,2178
Belém de Maria,22469
Colares,123333
São Francisco do Maranhão,7352
Congonhal,80373
Tabapuã,80787
Capela do Alto Alegre,22212
Capela de Santana,877182
Lebon Régis,340186
Palmácia,63320
Ventania,10922
Guimarães,24573
Nonoai,375404
Rio do Pires,33952
Flores de Goiás,52021
São Miguel das Matas,20545
Ipaumirim,266970
Dário Meira,124
Joaquim Távora,28392
São Pedro da Água Branca,5454
Aperibé,18852
Betânia,487886
Poranga,984967
Patu,48829
Mondaí,31466
São Sebastião de Lagoa de Roça,60226
Ibirá,24638
Terra Alta,37574
Inhangapi,26019
Peixe,634746
Macajuba,1058
São Félix do Araguaia,38360
Bocaina,177310
Gouvêa,2490
Rio dos Cedros,692420
Céu Azul,126662
Caetanópolis,12393
Alto Rio Doce,97194
Conceição dos Ouros,1609
Benedito Novo,63117
Santo Antônio do Jacinto,107820
Irupi,26883
Sítio do Quinto,141373
Riolândia,248
Jaqueira,128859
Arataca,39768
São João do Manhuaçu,37975
Wanderlândia,393683
Teixeiras,57238
Pimenteiras,65951
Bonito de Santa Fé,68411
Angicos,3778555
Pacoti,94469
Nossa Senhora dos Milagres,416366
Ubaí,10034
Campo do Meio,55759
Rodeio,30011
Serra do Salitre,908222
Guaiçara,18063
Redentora,19064
Imaruí,190289
Fortaleza dos Nogueiras,229529
Gravatal,608047
Itabirinha de Mantena,33063
Cachoeira de Minas,574
Paranatama,775767
Firminópolis,64844
Antônio Carlos,5795
Paranacity,58734
Jucati,4065
Mulungu,12223
Duas Barras,61217
Resende Costa,79987
Ferreiros,56192
Montanhas,78869
Carmo da Mata,953209
Roncador,11304
Alto Garças,36357
Sebastião Laranjeiras,55107
Normandia,10641
Chorrochó,598
Roca Sales,765
Xambioá,25439
Nova Laranjeiras,654137
Divinolândia,68612
Buriti do Tocantins,11791
Muquém de São Francisco,537858
Jaguari,346711
Uraí,36271
Alto Paraguai,61018
Sales Oliveira,42823
Moita Bonita,153232
Capitão de Campos,12271
Lençóis,60988
Fagundes,10049
Aratuba,33316
Duque Bacelar,26221
Estiva,108409
Curimatá,1418418
Gentio do Ouro,0
Abaiara,49
Alcântaras,48762
Terra de Areia,399349
Pôrto Firme,131853
Anguera,88442
Eugenópolis,33108
Poção,34058
Ipaporanga,120599
São Jerônimo da Serra,2669
Aramari,382387
Floresta Azul,3897815
Campo Redondo,471360
Palmares do Sul,75446
Iuiú,63
Avelino Lopes,692
Paramoti,79908
Angelim,36030
São Domingos,2311941
Nhandeara,22780
Irineópolis,18844
Getulina,42496
Sairé,106770
Presidente Vargas,615
Urubici,1028
Pirangi,32945
Matias Cardoso,4481
Engenheiro Caldas,126082
Florestópolis,194
Divisópolis,35236
Calçado,181874
Alto Parnaíba,1120272
Barros Cassal,4287
Centenário do Sul,8168
Areiópolis,5512
Cunha Porã,147861
Varre-Sai,596088
Três Cachoeiras,3898
Acari,13
Potengi,103
Primeiro de Maio,34
Barra do Sul,38015
Inácio Martins,16517
Fronteiras,1641
Campinorte,8136
Parapuã,131666
São José do Jacuípe,2412
Iacanga,275
Fervedouro,2819
Jandaíra,40892
São Pedro do Ivaí,147
Altamira do Maranhão,791657
Iapu,7605
Nova Ubiratã,188
Brotas de Macaúbas,154917
Santana do Mundaú,39888
Igaratinga,75820
Ponte Serrada,741785
São Gonçalo do Rio Abaixo,35901
Afonso Bezerra,1317
Igarapé Grande,1612
Botuporã,1314
Bueno Brandão,283959
Estiva Gerbi,38796
Bocaiúva do Sul,180983
Caracol,9868
Pedro de Toledo,34941
General Salgado,11833
São Tiago,14407
Rio do Fogo,31676
Arceburgo,68159
Lagoa do Mato,57184
Seridó,1051
Piraúba,39083
Cacimbinhas,9436
Seberi,51670
Pau Brasil,191397
Prudente de Morais,1376357
Itarana,740564
São Bento do Sapucaí,15698
Tenente Ananias,385
Bofete,370719
Itapebi,69087
Carnaubais,3499
Santa Maria de Itabira,80529
Apiúna,1591
Tacima,85857
Jordânia,35865
Amaturá,1352
Ferros,86711
Rincão,272858
Pirapetinga,12176
Itapitanga,4486
Parnaguá,331811
Ararendá,724
Juripiranga,937
Guaraci,573
Bananal,42047
Mercês,70243
Pintadas,24225
Goianápolis,1948
São Luís do Paraitinga,3150
Fontoura Xavier,33200
Cedral,23437
Juruaia,20733
Umarizal,35326
Brejolândia,14634
Gilbués,60037
Ribeirão Claro,314757
Paricônia,20358
Itaueira,46846
Branquinha,2450215
Canelinha,36584
Baraçlândia,456053
Faxinal dos Guedes,2365787
São Sebastião do Maranhão,52306
Trajano de Morais,22953
Mara Rosa,57143
Gudofredo Viana,145530
Arraias,34218
Sucupira do Norte,87386
Iretama,130187
Jacinto Machado,204276
São João,124006
Monte Alegre do Piauí,43555
Cajapió,20057
Santa Teresinha,1284
Virginópolis,43920
Pôrto Xavier,21296
Lavínia,47767
Pirpirituba,72846
Serra Caiada,21427
Bom Repouso,5993
Bom Jesus da Serra,21150
Montividiu,38006
Grossos,15456
Aragoiânia,35276
Ibiassucê,75402
Sangão,30562
Senhora dos Remédios,17532
Guadalupe,6847
Natuba,54593
Nova Europa,339904
Iramaia,44596
Beneditinos,425
Rio Acima,126948
Àrvorezinha,102358
Bujari,871728
Cristino Castro,58990
Paranã,111875
Roseira,31270
Planura,831336
Riachuelo,39648
Piraí do Norte,75005
Jaguaribara,37530
Cajobi,468402
Itamogi,25800
Catunda,30581
Corumbá de Goiás,134665
Urucânia,51
Buenópolis,767274
Bela Vista de Minas,13048
Conceição da Aparecida,710024
Mariluz,8431
Ninheira,27427
Santa Teresa,68017
Santa Maria Madalena,5602019
Januário Cicco,67078
Francisco Badaró,44627
Santa Cruz do Arari,48787
Campos Lindos,284675
Santa Terezinha de Goiás,102002
Dores de Campos,13413
Petrolina de Goiás,11789
Groaíras,458520
Alvorada do Sul,705370
Coroaci,392865
Miradouro,278052
Rubim,81541
São João d’Aliança,20176
Coronel Freitas,43612
Itapé,30492
Martinópole,9043
Mucugê,50638
Ronda Alta,554477
Pescaria Brava,248789
Terra Nova,987974
Pires Ferreira,48107
Catanduvas,4715
Governador Archer,1518725
Luís Gomes,599234
Alto Piquiri,316754
Sinimbu,603380
Caatiba,8782
Cachoeira dos Índios,2969
Calçoene,10622
Caém,13551
Jucuruçu,111224
Ipuiúna,20
Paranaiguana,24303
Rinópolis,20762
Ipupiara,33361
Aruanã,1159526
Maiquinique,266000
Alfredo Wagner,112513
Nova Veneza,51058
Açucena,67641
Carneirinho,20259
Caraíbas,4649
Uchoa,2830
Bonfinópolis,58161
Anísio de Abreu,7634
Itatiaiuçu,60689
Constantina,61948
Umburetama,12111
Capim Branco,223054
Vargem,1102
Mirante,322757
Pântano Grande,2144
Torrinha,126
Ananás,98349
Sarapuí,1014190
Florânia,202186
Axixá do Tocantins,5574
Caturama,2096280
Wagner,1258
Cardeal da Silva,256237
Formoso,3072
Frei Inocêncio,76
Antônio Dias,117101
Candiota,263775
Águia Branca,270258
Manduri,798651
Rondon,23913
Paula Cândido,59427
Palmeira d’Oeste,998176
Manuel Urbano,109633
Tombos,16947
Ouroeste,122207
Japurá,181
Agudos do Sul,171
Buriti Alegre,127
Lamarão,5335
Riacho dos Machados,30732
Planaltino,42817
Santanópolis,29126
Olho d’Água do Casado,123957
Várzea do Poço,639
André Fernandes,54842
Maravilha,46984
Araújos,138888
Carbonita,703441
Varzedo,1097867
São Sebastião do Alto,3195
Pirambu,6971
Cavalcante,15243
Campo Erê,452288
Igaratá,47067
Rio das Flores,530104
Baía Formosa,31235
Caputira,198972
Ariranha,35322
Ipiranga do Piauí,43803
Catuípe,97943
Porangaba,41154
Coqueiral,106420
São José do Cerrito,72605
Herculândia,45198
Salto Grande,196491
Dumont,508726
Natividade,318261
Abaíra,1062401
Carneiros,13942
Rosário do Catete,1198084
Coronel Murta,46760
Aratuípe,56790
Sítio Novo de Goiás,463736
Verdejante,265916
Terra Roxa,358565
Urânia,76508
São Jorge d’Oeste,76405
Casca,2923
Silves,44146
Rafard,199
Neves Paulista,37485
Santa Rita de Caldas,96982
Candeal,84849
Queimada Nova,138083
Jauru,248829
Vera Cruz do Oeste,543475
Pocrane,335577
Potiraguá,31692
Morpará,11600
Entre Ijuís,18
Paulo de Faria,367809
Pedrinhas,1607
Morada Nova de Minas,68853
Tarrafas,42958
Malhada de Pedras,26080
Baía da Traição,920456
Cordisburgo,0
Brejão,13
São Sebastião da Amoreira,23566
Ouriçangas,151497
Rodelas,151440
Marilândia do Sul,260269
Palhano,1060777
Anaurilândia,844442
Nova Bassano,61228
Bom Jardim de Goiás,77249
Congonhinhas,226107
Lajedo do Tabocal,102102
São José da Bela Vista,92914
Icaraíma,28923
Cordeiros,40429
Pratápolis,281927
Guamiranga,97802
Santa Barbara do Sul,2435
Bálsamo,1005
Guajeru,4
Armazém,433833
Tomazina,25
Redenção do Gurguéia,42956
Araguaçu,37716
Monsenhor Paulo,22853
Santa Isabel do Ivaí,64224
Dionísio,5187
Serra dos Aimorés,63958
Nossa Senhora dos Remédios,43312
Ibirapuã,949365
Santa Lúcia,125353
São Vicente do Sul,3192727
Guiricema,61929
Alvorada do Norte,56449
Piranguinho,45709
Tuneiras do Oeste,62622
Tangará,232343
Santana do Manhuaçu,226550
Virgínia,14676
Monte Alegre de Goiás,612
Nazareno,883
Mata Verde,2072
Capitólio,253
Reginópolis,4819
Comendador Levy Gasparian,524
Dobrada,7993
Nazária,1016
Amapá,223270
Colméia,13233
Camutanga,38772
Francisco Santos,310557
Martins Soares,2366
Itauçu,152297
Riacho dos Cavalos,30651
Tanquinho,74749
Tuparendi,25138
Tasso Fragoso,749
Isaías Coelho,591365
Itamari,123942
Jóia,1915
Paverama,54415
Marcolândia,249494
Japaratinga,33339
Araponga,76404
Itaquara,88629
Guaraçaí,67483
Nova Glória,24854
Ilha das Flores,58825
Barra de São Miguel,32485
Elísio Medrado,1877211
Estrêla d’Oeste,36233
General Câmara,234
Ibiaí,21268
Lontra,556320
Marcação,860966
Brejo Grande,69041
São Pedro dos Ferros,2944265
Santa Luzia D’Oeste,126542
Macururé,393
Arealva,1
Ouro Verde,19868
Marcelino Vieira,173427
Figueira,6118
Brasileira,1623
Rodeiro,157193
Nova Itarana,73759
Cristalândia do Piauí,32687
Montezuma,239719
Comercinho,460
Aparecida,1764
Guapuã,47298
Campo Florido,39760
Carnaúba dos Dantas,16304
Cachoeira Dourada,2409
Buriti dos Montes,41636
Ribeirão do Largo,36404
Mataraca,15923
Pereiras,31064
Santana da Boa Vista,33806
Pena Forte,55351
Palmeirina,56111
Irapuru,19990
Passa Tempo,54
Corumbaíba,0
Porto de Pedras,6247
Itamarati,0
Nova Fátima,8
Major Vieira,0
Vale do Paraíso,0
Guarani das Missões,3890
Guimarânia,0
Gongogi,0
Iraí,0
Leão,39437
Ponte Alta do Tocantins,404625
Serra Negra do Norte,124413
Peixe-Boi,1673785
Santa Cruz do Monte Castelo,315590
Orizânia,11504
Moraújo,258597
Vista Alegre do Alto,95251
Califórnia,18265
Águas da Prata,22641
Maravilhas,26188
Campo do Tenente,26900
Monte do Carmo,184956
Tapiraí,1484
Alpestre,422074
Itanagra,61078
Iepê,24127
Ascurra,1740
Macaubal,20553
Iguatama,70133
Treze Tílias,3383
Lagoa Alegre,673105
Icém,33200
Estrêla do Sul,59158
Santana de Pirapama,45807
Jequitaí,60740
Cruzeta,83930
Pedra Lavrada,2567
Clementina,212535
Vertentes do Lério,445
Iaras,40097
Tuparetama,429499
Cambira,1284973
Muniz Ferreira,94840
Timbó Grande,160354
São João do Oriente,1017
São João do Jaguaribe,672591
Baldim,59797
Durandé,980
Senador Firmino,1913
Itaiçaba,2762
Verê,38963
Borrazópolis,1483
Nazário,40512
Erval Sêco,38985
Leopoldo de Bulhões,84
Saltinho,352
Itobi,42971
São Miguel dos Milagres,30667
Guaraqueçaba,61360
Juarez Távora,101664
Madeira,28905
Itapirapuã,1362
Barra do Turvo,87192
São Vicente de Minas,387863
Apuarema,65728
Curral de Dentro,132209
Ibirajuba,126860
Monte Alegre do Sul,13569
Irapuã,32441
Abatiá,1257
Paraí,3539484
Araguapaz,221948
Claro dos Poções,641380
Rubelita,332454
Arneiroz,11396
Coronel Bicaco,218047
Jericó,789080
Paulo Jacinto,3995
Pium,386025
Belo Vale,12764
Pedro Gomes,8025
Boqueirão do Leão,1394
Bilac,349653
Jacuí,203150
Senador Sá,51620
Serrania,235
São José da Lagoa Tapada,416646
Alto Paraíso de Goiás,13415
Cônego Marinho,143234
São Miguel das Missões,4494
Jati,29334
Xavantina,25205
Lavras do Sul,77733
Palmeirópolis,7079
Coimbra,4924
Juranda,3872
Lagoa Salgada,11476
Catiguá,30863
Ipumirim,299219
São José dos Brasílios,353986
Inocência,133053
Lindóia,71911
Tocantínia,1657893
Pedrão,273494
Lajeado Novo,712
Lagoa de Pedra,11493
Almas,184
Paulo Lopes,283729
Ipuaçu,418851
